AGE,AMT1
57,15700
59,23000
45,22000
18,10000
18,13300
47,306400
60,106400
53,6400
11,52400
41,12200
49,78900
12,35900
13,82200
36,6400
58,56950
46,78900
11,306400
43,99900
26,78900
38,4500
52,13300
45,101800
52,91800
65,101800
13,101800
32,110100
43,23100
42,6400
37,78900
44,106400
61,28100
37,72500
37,456400
48,39000
43,136800
46,76400
67,71800
62,60850
22,43100
59,101800
43,456400
43,59500
60,28800
28,78900
66,6400
46,75500
46,479000
33,138200
49,101800
30,101800
44,101800
44,101800
72,28200
72,-30400
72,30400
28,102900
38,59700
58,22000
58,6400
51,27800
65,74500
58,71900
10,110100
43,12600
58,79100
4,4600
24,61400
5,81000
55,8500
76,322000
76,-472000
76,417200
76,95200
76,-322000
76,-95200
76,472000
46,40000
54,9100
49,101800
42,75600
37,20300
19,239200
5,17300
9,19000
67,26300
42,21900
39,12000
24,34900
37,18900
5,6200
67,120700
57,9000
50,12300
72,21000
76,7400
33,69400
57,121500
57,476300
56,9000
78,17200
5,103000
56,70100
46,87400
43,6400
59,76400
62,82700
2,16600
27,137500
66,19300
43,10190
6,6400
77,44100
54,10300
51,71800
23,11000
49,18000
66,100000
66,100000
46,8500
38,6400
73,8500
44,67400
47,74300
6,21100
41,20000
73,76200
58,90100
36,59500
52,101800
10,14200
39,51100
46,22400
13,20100
13,30200
38,15300
47,17200
47,50900
56,8500
50,31400
5,10600
16,4500
56,29000
5,9800
36,-20000
36,20000
10,55100
56,78900
57,106400
15,42400
55,13500
51,9300
20,221900
25,8500
52,91800
9,6400
44,101800
49,91800
49,91800
49,91800
49,-101800
49,225000
49,-250000
49,-101800
49,-101800
49,91800
79,21000
61,6400
10,26300
41,26400
45,141300
49,25500
42,8500
49,6400
55,39800
37,8500
42,96400
61,26500
73,926300
38,106400
61,456400
61,123700
36,14700
58,20800
59,178400
9,43700
34,16400
49,106400
57,21600
49,250000
49,264200
49,-507800
68,6400
24,11700
25,55500
53,456400
53,-456400
11,76400
54,64200
34,4500
49,507800
49,258500
49,436700
49,-436700
1,7800
64,10700
40,21900
27,100000
11,54600
58,74300
51,154800
42,3000
42,28100
29,37400
4,-13900
4,13300
4,13900
23,45900
10,16400
44,29000
47,21900
10,16300
45,120400
42,24800
46,101600
35,44100
3,16000
44,21900
46,26300
13,16100
38,162300
9,17500
48,8500
50,118900
31,11600
